Row,LigninContent,SGratio,Ssubunits,Gsubunits,Hsubunits,PBcontent,CLratio,Aldehydes,betaO4,beta5,betabeta,beta1,Endgroups,HeightRate,DiameterRate,VolumeRate,Glucose,Xylose,TotalSugar,Relativedensity,MOE,Glucoseunpretreated,Xyloseunpretreated,Glucosepretreated,Xylosepretreated
NSF1_WT_CK.1,21.81010505,1.97,66.2,33.6,0.2,3.7,3.560119228,0.0,87.1,3.6,7.6,1.8,6.3,,,,55.982295799999996,17.0064765,77.64657436,,,18.43350626,4.667633534,42.39375978,56.19447391
NSF1_WT_CK.2,21.47088844,,,,,,3.501046404,,,,,,,,,,54.4492196,16.2742847,75.17057677,,,19.37695357,6.35972652,36.75644967,57.91406611
NSF1_WT_CK.3,21.64510122,,,,,,3.4506207730000003,,,,,,,,,,53.718066099999994,16.480512599999997,74.68903590000001,,,18.64791629,4.289308331,36.29151497,42.26870953
NSF1_a01.01.1,19.19832388,2.04,67.0,32.8,0.2,4.4,3.9121728239999998,0.0,88.2,3.3,7.0,1.4,5.9,,,,54.705264899999996,15.688437200000001,75.10716095,,,22.17994926,4.945680632,42.62770694,51.11981453
NSF1_a01.03.1,20.08526334,,,,,,3.3713727760000003,,,,,,,,,,49.502053100000005,14.2430402,67.71491002,,,23.91516969,5.038952288,48.60667082,58.93685535
NSF1_a01.08.1,22.92343662,1.86,64.9,34.9,0.2,3.8,2.964427628,0.0,87.3,3.8,7.5,1.5,6.2,,,,49.1723874,14.7651112,67.95486885,,,26.97916595,4.770028417,44.32792702,51.14353626
NSF1_i07.02.1,10.96360561,2.44,69.7,28.6,1.7,6.7,6.287628757,0.0,90.6,2.6,5.3,1.5,5.5,,,,47.2657403,18.079714000000003,68.93508191,,,57.51925142,21.79680497,88.43953302,80.03555808
NSF1_i07.02.2,9.39862873,,,,,,7.848993156000001,,,,,,,,,,52.1705362,16.874241199999997,73.76977258,,,60.38350819,26.98669496,81.43121213,82.24606864
NSF1_i07.02.3,10.24668845,,,,,,7.119769855,,,,,,,,,,50.74764570000001,17.0271224,72.95406354,,,49.22967293,24.011690899999998,79.72310723,88.4923456
NSF1_i07.06.1,19.79357885,2.09,67.6,32.3,0.2,4.9,3.327320445,0.0,87.2,3.8,7.2,1.8,6.2,,,,45.3653099,15.860024300000001,65.85957958,,,26.30798737,5.708692387999999,59.20735483,59.14618933
